session_id,participant_id,total_clicks,session_duration_s,final_score,total_rewards,overall_reward_rate,overall_switch_rate,total_switches,mean_run_length,median_run_length,mean_ici_s,median_ici_s,choice_prop_a,choice_entropy,proportion_optimal,mean_regret,cumulative_regret,win_stay_rate,lose_shift_rate,phase1_clicks,phase1_choice_prop_a,phase1_reward_rate,phase1_switch_rate,phase1_mean_run_length,phase1_mean_ici_s,phase1_proportion_optimal,phase2_clicks,phase2_choice_prop_a,phase2_reward_rate,phase2_switch_rate,phase2_mean_run_length,phase2_mean_ici_s,phase2_proportion_optimal,phase3_clicks,phase3_choice_prop_a,phase3_reward_rate,phase3_switch_rate,phase3_mean_run_length,phase3_mean_ici_s,phase3_proportion_optimal,phase4_clicks,phase4_choice_prop_a,phase4_reward_rate,phase4_switch_rate,phase4_mean_run_length,phase4_mean_ici_s,phase4_proportion_optimal,adaptation_lag_phase2_s,adaptation_lag_phase3_s,adaptation_lag_phase4_s
S018,P018,1016,359.974,4560,456,0.44881889763779526,0.11909448818897637,121,6.72244094488189,5.0,0.3536968503937008,0.351,0.49015748031496065,0.9997204592214384,0.45767716535433073,0.1775228346456693,180.3632,0.918859649122807,0.15026833631484796,230,0.49130434782608695,0.6782608695652174,0.1565217391304348,4.921739130434783,0.3856695652173913,0.45652173913043476,252,0.6706349206349206,0.5396825396825397,0.11507936507936507,6.5,0.358234126984127,0.5753968253968254,253,0.33992094861660077,0.5059288537549407,0.08695652173913043,8.778656126482213,0.3567588932806324,0.5296442687747036,281,0.4626334519572954,0.12811387900355872,0.12099644128113879,6.544483985765124,0.32070106761565836,0.28825622775800713,8.253,7.482,
S019,P019,956,359.774,5720,572,0.5983263598326359,0.4476987447698745,428,3.303347280334728,2.0,0.37546966527196646,0.336,0.49267782426778245,0.9998452964234804,0.5962343096234309,0.11171401673640168,106.79860000000001,0.5472027972027972,0.4412532637075718,253,0.4901185770750988,0.8695652173913043,0.7707509881422925,1.3280632411067195,0.352,0.6442687747035574,234,0.6452991452991453,0.688034188034188,0.3076923076923077,4.722222222222222,0.3835940170940171,0.6111111111111112,248,0.35080645161290325,0.6814516129032258,0.2701612903225806,4.286290322580645,0.363,0.6451612903225806,221,0.49321266968325794,0.09954751131221719,0.4253393665158371,2.9592760180995477,0.40772850678733025,0.47058823529411764,14.343,11.693,
S020,P020,683,359.681,4860,486,0.7115666178623719,0.2635431918008785,180,6.8345534407027815,4.0,0.5252796486090776,0.389,0.4465592972181552,0.9917438279491075,0.486090775988287,0.19511830161054175,133.2658,0.7030927835051546,0.18274111675126903,161,0.2981366459627329,0.8012422360248447,0.09937888198757763,10.540372670807454,0.5494782608695653,0.2236024844720497,212,0.5801886792452831,0.6273584905660378,0.13679245283018868,7.679245283018868,0.4262594339622641,0.49528301886792453,195,0.4,0.6,0.24615384615384617,6.138461538461539,0.4606871794871795,0.5435897435897435,115,0.48695652173913045,0.9304347826086956,0.7565217391304347,1.2695652173913043,0.7834695652173914,0.7391304347826086,16.292,17.342,
S021,P021,1027,359.668,4780,478,0.46543330087633883,0.27945472249269715,287,4.625121713729309,3.0,0.3492142161635833,0.315,0.5199610516066212,0.9988500292632153,0.5228821811100293,0.18141421616358328,186.31240000000003,0.7719665271966527,0.3248175182481752,247,0.5303643724696356,0.6558704453441295,0.2388663967611336,3.9635627530364372,0.3600040485829959,0.5101214574898786,260,0.6192307692307693,0.5769230769230769,0.2076923076923077,5.530769230769231,0.34551538461538456,0.5769230769230769,264,0.4090909090909091,0.5151515151515151,0.2765151515151515,5.242424242424242,0.34104924242424245,0.5303030303030303,256,0.5234375,0.1171875,0.39453125,3.70703125,0.35098046875,0.47265625,9.483,3.923,
S022,P022,876,359.966,5000,500,0.5707762557077626,0.6038812785388128,529,3.3447488584474887,1.0,0.4087785388127854,0.375,0.5102739726027398,0.9996954126191551,0.6015981735159818,0.14999589041095893,131.39640000000003,0.3066132264529058,0.4867021276595745,186,0.4946236559139785,0.9838709677419355,0.946236559139785,1.086021505376344,0.472994623655914,0.8870967741935484,216,0.6018518518518519,0.6435185185185185,0.6666666666666666,3.7453703703703702,0.4168055555555555,0.5416666666666666,235,0.4085106382978723,0.6127659574468085,0.4723404255319149,4.885106382978724,0.3827744680851064,0.5446808510638298,239,0.5397489539748954,0.14225941422594143,0.4100418410041841,3.225941422594142,0.3771171548117155,0.4895397489539749,28.785,15.526,
S023,P023,994,359.4,5080,508,0.5110663983903421,0.12977867203219315,129,5.498993963782696,4.0,0.36030382293762575,0.328,0.4969818913480885,0.9999737168803201,0.5160965794768612,0.15858692152917506,157.6354,0.9271653543307087,0.18969072164948453,245,0.5061224489795918,0.636734693877551,0.12653061224489795,5.318367346938776,0.3608122448979592,0.5020408163265306,245,0.6530612244897959,0.6693877551020408,0.1346938775510204,5.183673469387755,0.3682775510204082,0.6448979591836734,252,0.34523809523809523,0.5753968253968254,0.11904761904761904,5.904761904761905,0.35603174603174603,0.6071428571428571,252,0.4880952380952381,0.17063492063492064,0.1388888888888889,5.575396825396825,0.356329365079365,0.3134920634920635,3.598,9.815,
S024,P024,905,359.98,5270,527,0.5823204419889503,0.19889502762430938,180,4.148066298342542,3.0,0.3967138121546961,0.354,0.4850828729281768,0.99935784575519,0.5215469613259669,0.14665337016574587,132.7213,0.8368121442125237,0.2493368700265252,205,0.4878048780487805,0.9121951219512195,0.24878048780487805,2.707317073170732,0.4339707317073171,0.4634146341463415,223,0.6278026905829597,0.7040358744394619,0.18385650224215247,4.242152466367713,0.4033452914798206,0.6098654708520179,239,0.3723849372384937,0.6443514644351465,0.14644351464435146,5.100418410041841,0.37684518828451885,0.6276150627615062,238,0.46218487394957986,0.12184873949579832,0.22268907563025211,4.34453781512605,0.37836134453781517,0.38235294117647056,28.361,8.64,
S025,P025,1001,359.716,5150,515,0.5144855144855145,0.4275724275724276,428,2.2877122877122877,2.0,0.35877122877122875,0.354,0.46653346653346656,0.9967659202090546,0.5774225774225774,0.09674095904095904,96.8377,0.6815533980582524,0.5443298969072164,242,0.49586776859504134,0.8305785123966942,0.4214876033057851,2.0702479338842976,0.36839669421487603,0.5578512396694215,257,0.6342412451361867,0.6186770428015564,0.3735408560311284,2.642023346303502,0.35052140077821015,0.6342412451361867,258,0.313953488372093,0.47674418604651164,0.41472868217054265,2.441860465116279,0.3479612403100775,0.5968992248062015,244,0.42213114754098363,0.13114754098360656,0.5040983606557377,1.9672131147540983,0.369344262295082,0.5163934426229508,30.774,10.253,
S026,P026,350,327.303,2960,296,0.8457142857142858,0.06857142857142857,24,26.054285714285715,14.0,0.9322942857142857,0.609,0.5285714285714286,0.9976432959863937,0.4142857142857143,0.07747057142857143,27.114700000000003,0.9932432432432432,0.41509433962264153,127,0.6220472440944882,0.8267716535433071,0.07874015748031496,10.32283464566929,0.6974094488188978,0.4094488188976378,78,0.9230769230769231,0.9743589743589743,0.01282051282051282,34.5,1.152974358974359,0.7564102564102564,92,0.13043478260869565,0.9782608695652174,0.010869565217391304,45.45652173913044,0.9738804347826084,0.09782608695652174,53,0.41509433962264153,0.4716981132075472,0.22641509433962265,17.641509433962263,1.0981698113207545,0.4716981132075472,28.135,20.134,
S027,P027,1045,359.87,4250,425,0.40669856459330145,0.14641148325358852,153,5.6976076555023925,5.0,0.34325837320574165,0.328,0.507177033492823,0.9998513690015975,0.5186602870813397,0.16000478468899523,167.205,0.9176470588235294,0.19063004846526657,266,0.5225563909774437,0.5,0.13909774436090225,5.109022556390977,0.3335751879699248,0.5,268,0.6567164179104478,0.48134328358208955,0.12686567164179105,5.742537313432836,0.3357462686567164,0.6119402985074627,264,0.35984848484848486,0.49242424242424243,0.10227272727272728,6.8977272727272725,0.3405075757575758,0.5643939393939394,247,0.48582995951417,0.13360323886639677,0.22267206477732793,5.0,0.3647773279352228,0.38866396761133604,5.858,8.1,
