session_id,phase,median_ici,p_higher_observed,n_clicks,p_higher_optimal,optimal_reward_rate,distance_from_optimal
mmh0pa4lgnz2nd,Phase 3,0.388,0.6523605150214593,233,0.7200000000000002,0.8236,-0.06763948497854089
mmh0pj6zqdvwmg,Phase 2,0.233,0.4923547400611621,327,0.5,0.1878,-0.007645259938837912
mmh0pj6zqdvwmg,Phase 3,0.238,0.5807453416149069,322,0.5,0.2334,0.08074534161490687
mmh0pjhqfbciu8,Phase 2,0.376,0.625615763546798,203,0.7100000000000002,0.77065,-0.08438423645320214
mmh0pjhqfbciu8,Phase 3,0.3685,0.6981132075471699,212,0.6900000000000002,0.7089,0.00811320754716971
mmh0puch6r88f0,Phase 2,0.3715,0.7058823529411765,238,0.6900000000000002,0.7089,0.015882352941176348
mmh0puch6r88f0,Phase 3,0.389,0.6933333333333334,225,0.7200000000000002,0.8236,-0.02666666666666684
mmh0r154h7irg3,Phase 2,0.258,0.5906040268456376,298,0.5,0.3465,0.09060402684563762
mmh0r154h7irg3,Phase 3,0.2455,0.603225806451613,310,0.5,0.30095,0.10322580645161294
mmh0r34rqnesgg,Phase 2,0.3815,0.6991150442477876,226,0.7100000000000002,0.77065,-0.0108849557522126
mmh0r34rqnesgg,Phase 3,0.372,0.6986899563318778,229,0.6900000000000002,0.7089,0.008689956331877635
mmh0rqn6g1cadb,Phase 2,0.514,0.6181818181818182,165,0.9800000000000004,0.99995,-0.36181818181818226
mmh0rqn6g1cadb,Phase 3,0.444,0.6073298429319371,191,0.7500000000000002,0.94165,-0.14267015706806307
mmh0tro0khha5x,Phase 2,0.3505,0.6733870967741935,248,0.6300000000000001,0.59595,0.04338709677419339
mmh0tro0khha5x,Phase 3,0.352,0.6639676113360324,247,0.6300000000000001,0.59595,0.03396761133603232
mmh0uacrkmrg83,Phase 2,0.416,0.7807486631016043,187,0.7400000000000002,0.9115,0.04074866310160408
mmh0uacrkmrg83,Phase 3,0.353,0.6523809523809524,210,0.6300000000000001,0.59595,0.02238095238095228
mmh0ueb9o9dis7,Phase 2,0.477,0.5428571428571428,175,0.8100000000000003,0.98015,-0.26714285714285746
mmh0ueb9o9dis7,Phase 3,0.396,0.6019900497512438,201,0.7200000000000002,0.8658,-0.11800995024875638
mmh0vbvu4yn6l1,Phase 2,0.253,0.62751677852349,298,0.5,0.30095,0.12751677852348997
mmh0vbvu4yn6l1,Phase 3,0.2575,0.6466666666666667,300,0.5,0.3465,0.14666666666666672
mmh0vh7gck5q8n,Phase 2,0.415,0.7339901477832512,203,0.7100000000000002,0.88825,0.023990147783251037
mmh0vh7gck5q8n,Phase 3,0.387,0.6405529953917051,217,0.7200000000000002,0.8236,-0.07944700460829512
mmh0wavycmn4y3,Phase 2,0.3225,0.6751824817518248,274,0.56,0.5206,0.11518248175182477
mmh0wavycmn4y3,Phase 3,0.337,0.6653846153846155,260,0.6100000000000001,0.56495,0.055384615384615365
mmh0x9u4kgtvxn,Phase 2,0.379,0.587360594795539,269,0.7100000000000002,0.77065,-0.12263940520446115
mmh0x9u4kgtvxn,Phase 3,0.268,0.5945017182130584,291,0.5,0.3944,0.09450171821305842
mmh0yegg0emahk,Phase 2,0.241,0.684,250,0.5,0.2334,0.18400000000000005
mmh0yegg0emahk,Phase 3,0.504,0.760233918128655,171,0.9700000000000004,0.99985,-0.20976608187134538
mmh115pr1lsvkw,Phase 2,0.3,0.6206896551724138,261,0.52,0.4727,0.1006896551724138
mmh115pr1lsvkw,Phase 3,0.2565,0.5555555555555556,288,0.5,0.3465,0.05555555555555558
mmh16ou0ocswzc,Phase 2,0.377,0.6506024096385542,249,0.7100000000000002,0.77065,-0.059397590361445984
mmh16ou0ocswzc,Phase 3,0.384,0.631578947368421,247,0.7100000000000002,0.77065,-0.07842105263157917
mmh19xdl74m2p5,Phase 2,0.3135,0.6208333333333333,240,0.54,0.49445,0.08083333333333331
mmh19xdl74m2p5,Phase 3,0.3255,0.628099173553719,242,0.5700000000000001,0.5373,0.058099173553718964
mmh1cyh0ahaw8s,Phase 2,0.353,0.6352941176470588,255,0.6300000000000001,0.59595,0.0052941176470586715
mmh1cyh0ahaw8s,Phase 3,0.3485,0.61328125,256,0.6300000000000001,0.59595,-0.016718750000000115
mmh1eq07kkdfkw,Phase 2,0.284,0.6159695817490495,263,0.5,0.42985,0.11596958174904948
mmh1eq07kkdfkw,Phase 3,0.234,0.5833333333333333,300,0.5,0.1878,0.08333333333333326
mmh1jfrxrszco0,Phase 2,0.618,0.7905405405405406,148,0.9900000000000004,1.0,-0.19945945945945986
mmh1jfrxrszco0,Phase 3,0.667,0.905511811023622,127,0.9900000000000004,1.0,-0.08448818897637844
mmh1qje9negjr0,Phase 2,0.3205,0.7209302325581395,258,0.56,0.5206,0.16093023255813943
mmh1qje9negjr0,Phase 3,0.32,0.6848249027237354,257,0.56,0.5206,0.12482490272373536
mmh1sestgp7zew,Phase 2,0.2605,0.6302816901408451,284,0.5,0.3465,0.13028169014084512
mmh1sestgp7zew,Phase 3,0.256,0.6,290,0.5,0.3465,0.09999999999999998
mmh1tezp242ppu,Phase 2,0.384,0.6652542372881356,236,0.7100000000000002,0.77065,-0.04474576271186459
mmh1tezp242ppu,Phase 3,0.384,0.6307053941908713,241,0.7100000000000002,0.77065,-0.07929460580912884
mmh1wzqpu4iob1,Phase 2,0.379,0.6447368421052632,228,0.7100000000000002,0.77065,-0.06526315789473702
mmh1wzqpu4iob1,Phase 3,0.377,0.6511627906976745,215,0.7100000000000002,0.77065,-0.05883720930232572
mmh250jg0prrne,Phase 2,0.397,0.6009852216748769,203,0.7200000000000002,0.8658,-0.1190147783251233
mmh250jg0prrne,Phase 3,0.387,0.6666666666666667,210,0.7200000000000002,0.8236,-0.053333333333333455
mmh28cu87aoonk,Phase 2,0.428,0.6302083333333334,192,0.7500000000000002,0.9322,-0.11979166666666685
mmh28cu87aoonk,Phase 3,0.373,0.6711111111111111,225,0.6900000000000002,0.7089,-0.018888888888889066
