session_id,phase_id,E,lib_size,n_obs,rho_reward_causes_choice,rho_choice_causes_reward
mmgpciu4e2yunz,3,2,62,200,0.49104000000000003,0.38746249999999993
mmgpciu4e2yunz,3,2,105,200,0.538058,0.395063
mmgpciu4e2yunz,3,2,147,200,0.557004,0.41154149999999995
mmgpciu4e2yunz,3,2,190,200,0.5613929999999999,0.4645394999999999
mmgpciu4e2yunz,4,2,20,200,0.1995275,0.074785
mmgpciu4e2yunz,4,2,62,200,0.1845775,0.1687125
mmgpciu4e2yunz,4,2,105,200,0.21148099999999997,0.202298
mmgpciu4e2yunz,4,2,147,200,0.23159049999999998,0.196449
mmgpciu4e2yunz,4,2,190,200,0.27097399999999994,0.205833
mmgpgi4g1jzpv2,1,2,20,200,0.3433325,0.1826275
mmgpgi4g1jzpv2,1,2,62,200,0.43911050000000007,0.210963
mmgpgi4g1jzpv2,1,2,105,200,0.47790900000000003,0.3170215
mmgpgi4g1jzpv2,1,2,147,200,0.4855525,0.3548865
mmgpgi4g1jzpv2,1,2,190,200,0.510943,0.37444449999999996
mmgpgi4g1jzpv2,2,2,20,200,0.76082,0.7419249999999998
mmgpgi4g1jzpv2,2,2,62,200,0.8263,0.7699245
mmgpgi4g1jzpv2,2,2,105,200,0.8257144999999999,0.7756264999999999
mmgpgi4g1jzpv2,2,2,147,200,0.8382380000000001,0.7810159999999999
mmgpgi4g1jzpv2,2,2,190,200,0.8485860000000001,0.7890685
mmgpgi4g1jzpv2,3,2,20,200,0.43491650000000004,0.3573394999999999
mmgpgi4g1jzpv2,3,2,62,200,0.5107554999999999,0.40003400000000006
mmgpgi4g1jzpv2,3,2,105,200,0.5271135,0.45787100000000003
mmgpgi4g1jzpv2,3,2,147,200,0.5531170000000001,0.48719
mmgpgi4g1jzpv2,3,2,190,200,0.5989835,0.5067760000000001
mmgpgi4g1jzpv2,4,2,20,200,0.128824,0.10870450000000001
mmgpgi4g1jzpv2,4,2,62,200,0.26112149999999995,0.1776385
mmgpgi4g1jzpv2,4,2,105,200,0.30816849999999996,0.23562200000000005
mmgpgi4g1jzpv2,4,2,147,200,0.3420905,0.23278699999999994
mmgpgi4g1jzpv2,4,2,190,200,0.3482905,0.26294150000000005
mmgpiq4ct3r8s1,1,2,20,200,0.5505405,
mmgpiq4ct3r8s1,1,2,62,200,0.6193215000000001,0.3524185
mmgpiq4ct3r8s1,1,2,105,200,0.613019,0.419653
mmgpiq4ct3r8s1,1,2,147,200,0.6077125,0.446725
mmgpiq4ct3r8s1,1,2,190,200,0.6214270000000001,0.46925
mmgpiq4ct3r8s1,2,2,20,200,0.4428145,0.4598375
mmgpiq4ct3r8s1,2,2,62,200,0.622319,0.5744125
mmgpiq4ct3r8s1,2,2,105,200,0.682105,0.6143879999999999
mmgpiq4ct3r8s1,2,2,147,200,0.716642,0.6346179999999999
mmgpiq4ct3r8s1,2,2,190,200,0.735297,0.656667
mmgpiq4ct3r8s1,4,2,20,200,0.24852200000000005,0.30999399999999994
mmgpiq4ct3r8s1,4,2,62,200,0.47126450000000003,0.5643265000000001
mmgpiq4ct3r8s1,4,2,105,200,0.5280834999999999,0.5953665
mmgpiq4ct3r8s1,4,2,147,200,0.5734515,0.620814
mmgpiq4ct3r8s1,4,2,190,200,0.590433,0.627664
mmgpqa16u4u07b,1,2,20,200,0.287263,0.12631949999999997
mmgpqa16u4u07b,1,2,62,200,0.32931,0.22196150000000006
mmgpqa16u4u07b,1,2,105,200,0.359403,0.24519799999999997
mmgpqa16u4u07b,1,2,147,200,0.40803649999999997,0.2639885
mmgpqa16u4u07b,1,2,190,200,0.466345,0.291203
mmgpqa16u4u07b,2,3,20,200,0.2585255000000001,0.29219900000000004
mmgpqa16u4u07b,2,3,62,200,0.37130399999999997,0.29686549999999995
mmgpqa16u4u07b,2,3,105,200,0.44943599999999995,0.33315249999999996
mmgpqa16u4u07b,2,3,147,200,0.4960049999999999,0.37010400000000004
mmgpqa16u4u07b,2,3,190,200,0.5208484999999999,0.40292200000000006
mmgpqa16u4u07b,3,2,20,200,0.3717565,0.26757
mmgpqa16u4u07b,3,2,62,200,0.5051969999999999,0.29966100000000007
mmgpqa16u4u07b,3,2,105,200,0.565685,0.359918
mmgpqa16u4u07b,3,2,147,200,0.6078655000000002,0.420899
mmgpqa16u4u07b,3,2,190,200,0.638267,0.434249
mmgpqa16u4u07b,4,2,20,200,0.2354985,0.1081145
mmgpqa16u4u07b,4,2,62,200,0.3038309999999999,0.13980800000000002
mmgpqa16u4u07b,4,2,105,200,0.34827900000000006,0.1301765
mmgpqa16u4u07b,4,2,147,200,0.402954,0.19055599999999998
mmgpqa16u4u07b,4,2,190,200,0.43463499999999994,0.20516800000000002
mmgpy8l4xh9nto,1,2,20,200,0.1728405,0.1304715
mmgpy8l4xh9nto,1,2,62,200,0.22286449999999997,0.21193599999999999
mmgpy8l4xh9nto,1,2,105,200,0.292626,0.28740150000000003
mmgpy8l4xh9nto,1,2,147,200,0.26524050000000005,0.32044
mmgpy8l4xh9nto,1,2,190,200,0.3456795,0.3516665
mmgpy8l4xh9nto,2,2,20,200,0.8569025,0.8888604999999998
mmgpy8l4xh9nto,2,2,62,200,0.879982,0.9057924999999999
mmgpy8l4xh9nto,2,2,105,200,0.889767,0.9137799999999998
mmgpy8l4xh9nto,2,2,147,200,0.8930404999999999,0.919074
mmgpy8l4xh9nto,2,2,190,200,0.8965335000000001,0.9249515
mmgpy8l4xh9nto,3,2,20,200,0.110496,0.21381000000000006
mmgpy8l4xh9nto,3,2,62,200,0.18442799999999998,0.246504
mmgpy8l4xh9nto,3,2,105,200,0.243504,0.245676
mmgpy8l4xh9nto,3,2,147,200,0.287601,0.28977200000000003
mmgpy8l4xh9nto,3,2,190,200,0.3207805,0.32577
mmgpy8l4xh9nto,4,5,20,200,0.03891,0.164953
mmgpy8l4xh9nto,4,5,62,200,0.153129,0.20522150000000003
mmgpy8l4xh9nto,4,5,105,200,0.1800035,0.27895749999999997
mmgpy8l4xh9nto,4,5,147,200,0.252108,0.28922899999999996
mmgpy8l4xh9nto,4,5,190,200,0.33496099999999995,0.330162
mmgq3qouddjc6z,1,2,20,200,0.39834050000000004,0.38936800000000005
mmgq3qouddjc6z,1,2,62,200,0.4252675,0.472663
mmgq3qouddjc6z,1,2,105,200,0.46217700000000006,0.4771715
mmgq3qouddjc6z,1,2,147,200,0.4978609999999999,0.5142095
mmgq3qouddjc6z,1,2,190,200,0.5201085,0.545123
mmgq3qouddjc6z,2,2,20,200,0.23332950000000002,0.099945
mmgq3qouddjc6z,2,2,62,200,0.32363749999999997,0.14876099999999998
mmgq3qouddjc6z,2,2,105,200,0.29305649999999994,0.19185649999999999
mmgq3qouddjc6z,2,2,147,200,0.327609,0.21546499999999996
mmgq3qouddjc6z,2,2,190,200,0.36357849999999997,0.24199299999999999
mmgq3qouddjc6z,3,3,20,200,0.08621249999999998,0.21461000000000002
mmgq3qouddjc6z,3,3,62,200,0.1396745,0.29063950000000005
mmgq3qouddjc6z,3,3,105,200,0.1713285,0.3118875
mmgq3qouddjc6z,3,3,147,200,0.23813399999999998,0.34226199999999996
mmgq3qouddjc6z,3,3,190,200,0.29423,0.3770975
mmgq3qouddjc6z,4,2,20,200,-0.012049,0.11528849999999997
mmgq3qouddjc6z,4,2,62,200,0.017688999999999996,0.16591750000000002
mmgq3qouddjc6z,4,2,105,200,0.08816099999999999,0.144646
mmgq3qouddjc6z,4,2,147,200,0.12370400000000001,0.1264045
mmgq3qouddjc6z,4,2,190,200,0.170707,0.158392
mmgqyc7ozjls4u,1,2,20,200,0.015413500000000002,0.139598
mmgqyc7ozjls4u,1,2,62,200,0.052469,0.187353
mmgqyc7ozjls4u,1,2,105,200,0.069003,0.20133299999999998
mmgqyc7ozjls4u,1,2,147,200,0.10596649999999999,0.22410250000000004
mmgqyc7ozjls4u,1,2,190,200,0.1243895,0.2625415
mmgqyc7ozjls4u,2,2,20,200,0.051315999999999994,0.624908
mmgqyc7ozjls4u,2,2,62,200,0.14548149999999999,0.645758
mmgqyc7ozjls4u,2,2,105,200,0.17193799999999998,0.6945664999999999
mmgqyc7ozjls4u,2,2,147,200,0.198405,0.7127224999999999
mmgqyc7ozjls4u,2,2,190,200,0.2097465,0.7243329999999999
mmgqyc7ozjls4u,3,2,20,200,0.20392000000000002,0.22306499999999999
mmgqyc7ozjls4u,3,2,62,200,0.2571385,0.345705
mmgqyc7ozjls4u,3,2,105,200,0.26826300000000003,0.4120205
mmgqyc7ozjls4u,3,2,147,200,0.286222,0.415782
mmgqyc7ozjls4u,3,2,190,200,0.3007975,0.44474800000000003
mmgqyc7ozjls4u,4,2,20,200,0.10561899999999999,0.1424125
mmgqyc7ozjls4u,4,2,62,200,0.147724,0.2435365
mmgqyc7ozjls4u,4,2,105,200,0.19322599999999998,0.2812065
mmgqyc7ozjls4u,4,2,147,200,0.23664849999999998,0.29570850000000004
mmgqyc7ozjls4u,4,2,190,200,0.2642844999999999,0.321894
mmgr4s188ypj5i,1,3,20,200,0.190398,0.0162155
mmgr4s188ypj5i,1,3,62,200,0.196975,0.092915
mmgr4s188ypj5i,1,3,105,200,0.208995,0.12059649999999997
mmgr4s188ypj5i,1,3,147,200,0.261174,0.14214300000000002
mmgr4s188ypj5i,1,3,190,200,0.29179249999999995,0.18616700000000003
mmgr4s188ypj5i,2,2,20,200,0.20523550000000004,0.1609535
mmgr4s188ypj5i,2,2,62,200,0.31022999999999995,0.28119099999999997
mmgr4s188ypj5i,2,2,105,200,0.3090645,0.3431525
mmgr4s188ypj5i,2,2,147,200,0.30601900000000004,0.3799055
mmgr4s188ypj5i,2,2,190,200,0.3531345,0.382983
mmgr4s188ypj5i,3,2,20,200,0.252023,0.221144
mmgr4s188ypj5i,3,2,62,200,0.30778400000000006,0.299618
mmgr4s188ypj5i,3,2,105,200,0.346883,0.336768
mmgr4s188ypj5i,3,2,147,200,0.397534,0.38457050000000004
mmgr4s188ypj5i,3,2,190,200,0.40977699999999995,0.3957355
mmgr4s188ypj5i,4,2,20,200,0.053583000000000006,0.04449700000000001
mmgr4s188ypj5i,4,2,62,200,0.09041450000000001,0.10383099999999998
mmgr4s188ypj5i,4,2,105,200,0.12299,0.09762599999999998
mmgr4s188ypj5i,4,2,147,200,0.18942699999999998,0.1287885
mmgr4s188ypj5i,4,2,190,200,0.24248700000000004,0.169769
mmgr4wtlfg07a6,1,3,20,200,0.10776100000000002,0.039014
mmgr4wtlfg07a6,1,3,62,200,0.251087,0.063516
mmgr4wtlfg07a6,1,3,105,200,0.3047885,0.0984305
mmgr4wtlfg07a6,1,3,147,200,0.36261199999999993,0.12262500000000001
mmgr4wtlfg07a6,1,3,190,200,0.378855,0.14919050000000003
mmgr4wtlfg07a6,2,2,20,200,0.347765,0.25487800000000005
