session_id,overall_switch_rate,mean_run_length,choice_entropy,win_stay_rate,lose_shift_rate,overall_reward_rate,total_rewards,choice_prop_a,total_clicks,adaptation_lag_phase2_s,adaptation_lag_phase3_s,best_E,ccm_asymmetry
mmh0wavycmn4y3,0.34684684684684686,3.7432432432432434,0.999941453025042,0.7258883248730964,0.38741258741258744,0.35495495495495494,394,0.4954954954954955,1110,5.817,11.03,3,0.2657234999999999
mmh0x9u4kgtvxn,0.493681550126369,3.2561078348778434,0.9999953922800321,0.5726495726495726,0.5221556886227545,0.2965459140690817,352,0.4987363100252738,1187,14.361,11.195,2,0.01639549999999998
mmh0yegg0emahk,0.16557161629434955,7.474375821287779,0.9999389652128616,0.9096267190569745,0.3187250996015936,0.668856767411301,509,0.49540078843626806,761,3.537,10.945,1,0.13534149999999995
mmh115pr1lsvkw,0.33488372093023255,3.6697674418604653,0.9992352130706913,0.7927565392354124,0.511049723756906,0.5790697674418605,498,0.5162790697674419,860,3.625,21.108,1,-0.054498500000000005
mmh16ou0ocswzc,0.20361083249749248,3.978936810431294,0.9999644406449978,0.8546845124282982,0.26849894291754756,0.5245737211634904,523,0.49648946840521563,997,4.554,31.478,4,-0.0795835
mmh19xdl74m2p5,0.11169652265542676,6.245521601685986,0.9997685094904741,0.9481641468682506,0.16907216494845362,0.48788198103266595,463,0.5089567966280295,949,1.538,0.925,1,0.114089
mmh1cyh0ahaw8s,0.1796875,5.5322265625,0.9960228568316535,0.8586497890295358,0.21311475409836064,0.462890625,474,0.537109375,1024,7.785,14.772,5,-0.17196500000000012
mmh1eq07kkdfkw,0.13284132841328414,5.371771217712177,0.9982091745284157,0.9254079254079254,0.1712538226299694,0.39575645756457567,429,0.47509225092250923,1084,0.032,10.35,3,-0.215726
mmh1jfrxrszco0,0.19729206963249515,12.410058027079303,0.9983126201788569,0.8414376321353065,0.627906976744186,0.9168278529980658,474,0.5241779497098646,517,0.155,11.972,1,0.4314229999999999
mmh1qje9negjr0,0.2986870897155361,4.171772428884026,0.9997202144774338,0.7700892857142857,0.3655913978494624,0.49015317286652077,448,0.5098468271334792,914,0.312,7.235,2,0.2275644999999999
mmh1sestgp7zew,0.08737864077669903,8.311562224183584,0.9999544829287736,0.950354609929078,0.11001410437235543,0.3733451015004413,423,0.4960282436010591,1133,3.908,4.74,2,-0.09229699999999999
mmh1tezp242ppu,0.3149113660062565,3.4744525547445257,0.9995097286142537,0.7996219281663516,0.4568764568764569,0.5516162669447341,529,0.5130344108446299,959,0.33,6.49,1,0.18018699999999993
mmh1wzqpu4iob1,0.12514757969303425,6.113341204250295,0.9996369876894684,0.9324055666003976,0.2099125364431487,0.5938606847697757,503,0.4887839433293979,847,7.909,13.023,1,-0.058026000000000105
mmh250jg0prrne,0.5669099756690997,2.794403892944039,0.9996540760494435,0.48873483535528595,0.7008196721311475,0.7019464720194647,577,0.48905109489051096,822,9.601,4.804,3,-0.07844299999999998
mmh28cu87aoonk,0.6852976913730255,1.7533414337788578,0.9962895934465072,0.3231292517006803,0.7094017094017094,0.7144592952612394,588,0.4641555285540705,823,38.607,13.73,2,-0.156018
mmjs6b0lllgkvm,0.15931372549019607,4.802696078431373,0.9999956666411797,0.9166666666666666,0.3090909090909091,0.6617647058823529,540,0.4987745098039216,816,0.34,5.988,4,0.1751585
