session_id,model,accuracy,f1,mcc
mmh0ocgvf4p325,patch_leaving,0.6777777777777778,0.6793969849246231,0.35860132216892154
mmh0ocgvf4p325,softmax_mvt,0.6686868686868687,0.7167530224525043,0.38290018927608493
mmh0opq734nw1a,mvt_threshold,0.8496732026143791,0.8470066518847007,0.6993276790304116
mmh0opq734nw1a,patch_leaving,0.6949891067538126,0.7071129707112971,0.3927491548314605
mmh0opq734nw1a,softmax_mvt,0.7145969498910676,0.7369477911646586,0.4384166924171423
mmh0ozswma6i3j,mvt_threshold,0.8529121421520237,0.8543499511241447,0.7059968113910361
mmh0ozswma6i3j,patch_leaving,0.5320829220138203,0.5459770114942529,0.06435183879276542
mmh0ozswma6i3j,softmax_mvt,0.6920039486673247,0.7412935323383084,0.41593449169960833
mmh0pa4lgnz2nd,mvt_threshold,0.7039106145251397,0.7032474804031354,0.40782002946752016
mmh0pa4lgnz2nd,patch_leaving,0.6670391061452514,0.6526806526806527,0.3351038246287272
mmh0pa4lgnz2nd,softmax_mvt,0.5832402234636872,0.667853962600178,0.194288411086669
mmh0pj6zqdvwmg,mvt_threshold,0.8670427074939565,0.8663967611336032,0.7342695163780395
mmh0pj6zqdvwmg,patch_leaving,0.48831587429492346,0.4980237154150198,-0.02257724177272775
mmh0pj6zqdvwmg,softmax_mvt,0.6575342465753424,0.7216764898493778,0.3666434868198602
mmh0pjhqfbciu8,mvt_threshold,0.6653005464480874,0.6711409395973155,0.33220324497640485
mmh0pjhqfbciu8,patch_leaving,0.6489071038251366,0.6531713900134952,0.2989907735488042
mmh0pjhqfbciu8,softmax_mvt,0.6352459016393442,0.7107258938244854,0.33398192085013567
mmh0puch6r88f0,mvt_threshold,0.6446188340807175,0.6481687014428413,0.2891798883949983
mmh0puch6r88f0,patch_leaving,0.554932735426009,0.5564245810055866,0.10996840042727941
mmh0puch6r88f0,softmax_mvt,0.6401345291479821,0.7057745187901008,0.30445475397944954
mmh0r154h7irg3,mvt_threshold,0.8937977909940527,0.8912097476066144,0.7875799386990449
mmh0r154h7irg3,patch_leaving,0.5539507221750213,0.5485812553740327,0.10819845689060566
mmh0r154h7irg3,softmax_mvt,0.6805437553101105,0.7314285714285714,0.41031244637549735
mmh0r34rqnesgg,mvt_threshold,0.7265795206971678,0.7303974221267454,0.45325808550522984
