session_id,model,phase,accuracy,precision,recall,f1,mcc
mmglwqjl2idcz3,q_dual_alpha,Ph 1,0.904,0.9340659340659341,0.9340659340659341,0.9340659340659341,0.7575953458306399
mmglwqjl2idcz3,q_dual_alpha,Ph 2,0.8963414634146342,0.9407894736842105,0.9470198675496688,0.9438943894389439,0.26423931664094796
mmglwqjl2idcz3,q_dual_alpha,Ph 3,0.9825581395348837,1.0,0.7692307692307693,0.8695652173913043,0.8688991627258914
mmglwqjl2idcz3,q_dual_alpha,Ph 4,0.6721311475409836,0.6792452830188679,0.6101694915254238,0.6428571428571429,0.34310872722181884
mmglwqjl2idcz3,q_forgetting,Full,0.9056603773584906,0.9137380191693291,0.910828025477707,0.9122807017543859,0.8102452693967824
mmglwqjl2idcz3,q_forgetting,Ph 1,0.896,0.9333333333333333,0.9230769230769231,0.9281767955801105,0.7399400733959437
mmglwqjl2idcz3,q_forgetting,Ph 2,0.9451219512195121,0.9671052631578947,0.9735099337748344,0.9702970297029703,0.6109213000738717
mmglwqjl2idcz3,q_forgetting,Ph 3,0.9941860465116279,1.0,0.9230769230769231,0.96,0.9577618139744831
mmglwqjl2idcz3,q_forgetting,Ph 4,0.7377049180327869,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.47484530535377995
mmglwqjl2idcz3,hmm_2state,Full,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 1,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 2,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 3,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_2state,Ph 4,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_3state,Full,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_3state,Ph 1,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_3state,Ph 2,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_3state,Ph 3,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_3state,Ph 4,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Full,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 1,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 2,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 3,1.0,1.0,1.0,1.0,1.0
mmglwqjl2idcz3,hmm_4state,Ph 4,1.0,1.0,1.0,1.0,1.0
mmgnnwif7rgnag,random,Full,0.5,0.5,1.0,0.6666666666666666,0.0
mmgnnwif7rgnag,random,Ph 1,0.4954545454545455,0.4954545454545455,1.0,0.662613981762918,0.0
mmgnnwif7rgnag,random,Ph 2,0.691304347826087,0.691304347826087,1.0,0.8174807197943444,0.0
mmgnnwif7rgnag,random,Ph 3,0.3053097345132743,0.3053097345132743,1.0,0.46779661016949153,0.0
mmgnnwif7rgnag,random,Ph 4,0.5073529411764706,0.5073529411764706,1.0,0.6731707317073171,0.0
mmgnnwif7rgnag,bias,Full,0.5,0.0,0.0,0.0,0.0
mmgnnwif7rgnag,bias,Ph 1,0.5045454545454545,0.0,0.0,0.0,0.0
mmgnnwif7rgnag,bias,Ph 2,0.30869565217391304,0.0,0.0,0.0,0.0
mmgnnwif7rgnag,bias,Ph 3,0.6946902654867256,0.0,0.0,0.0,0.0
mmgnnwif7rgnag,bias,Ph 4,0.49264705882352944,0.0,0.0,0.0,0.0
mmgnnwif7rgnag,wsls,Full,0.4963054187192118,0.48739495798319327,0.14285714285714285,0.22095238095238096,-0.010446748916101867
mmgnnwif7rgnag,wsls,Ph 1,0.5045454545454545,0.5,0.05504587155963303,0.09917355371900827,0.002183655969287883
mmgnnwif7rgnag,wsls,Ph 2,0.36086956521739133,0.7,0.1320754716981132,0.2222222222222222,0.007290341773765834
mmgnnwif7rgnag,wsls,Ph 3,0.6637168141592921,0.3939393939393939,0.18840579710144928,0.2549019607843137,0.07957771478779338
mmgnnwif7rgnag,wsls,Ph 4,0.4338235294117647,0.4090909090909091,0.2608695652173913,0.3185840707964602,-0.1359236810406297
mmgnnwif7rgnag,generalized_matching_law,Full,0.6317733990147784,0.6207674943566591,0.6773399014778325,0.6478209658421673,0.26464807020496395
