session_id,model,n_params,nll,aic,bic,n_obs,window,threshold,beta
mmh0rqn6g1cadb,patch_leaving,1,371.4555763194063,744.9111526388126,749.392729768089,653,,0.5000081968909007,
mmh0rqn6g1cadb,softmax_mvt,2,401.4102984701057,806.8205969402114,815.7837511987643,653,5.0,,6.234384559271146
mmh0tro0khha5x,mvt_threshold,1,497.33986858787677,996.6797371757535,1001.5361991603481,950,5.0,,
mmh0tro0khha5x,patch_leaving,1,695.5799622280292,1393.1599244560584,1398.016386440653,950,,0.5,
mmh0tro0khha5x,softmax_mvt,2,601.2620576127298,1206.5241152254596,1216.2370391946488,950,5.0,,4.216218768782604
mmh0uacrkmrg83,mvt_threshold,1,331.89442707115575,665.7888541423115,670.3653237113597,718,5.0,,
mmh0uacrkmrg83,patch_leaving,1,358.234019932433,718.468039864866,723.0445094339142,718,,0.5,
mmh0uacrkmrg83,softmax_mvt,2,419.1929913203835,842.385982640767,851.5389217788635,718,10.0,,8.362685121308168
mmh0ueb9o9dis7,mvt_threshold,1,530.1064772815779,1062.2129545631558,1066.8722484828395,780,5.0,,
mmh0ueb9o9dis7,patch_leaving,1,598.0349009764554,1198.069801952911,1202.7290958725946,780,,0.5,
mmh0ueb9o9dis7,softmax_mvt,2,524.9188442451735,1053.837688490347,1063.1562763297143,780,5.0,,1.7805488610628863
mmh0vbvu4yn6l1,mvt_threshold,1,497.05198437092554,996.1039687418511,1001.1865173112063,1191,5.0,,
mmh0vbvu4yn6l1,patch_leaving,1,1190.1991649308877,2382.3983298617754,2387.480878431131,1191,,0.5,
mmh0vbvu4yn6l1,softmax_mvt,2,674.3491134362747,1352.6982268725494,1362.86332401126,1191,10.0,,6.07445511798516
mmh0vh7gck5q8n,mvt_threshold,1,340.98185790694396,683.9637158138879,688.6433149997323,796,5.0,,
mmh0vh7gck5q8n,patch_leaving,1,468.52093912997407,939.0418782599481,943.7214774457925,796,,0.5,
mmh0vh7gck5q8n,softmax_mvt,2,441.8755627607868,887.7511255215736,897.1103238932624,796,5.0,,9.092000076393747
mmh0wavycmn4y3,mvt_threshold,1,749.3047571328688,1500.6095142657375,1505.6216295600439,1110,5.0,,
mmh0wavycmn4y3,patch_leaving,1,932.2956128007006,1866.5912256014012,1871.6033408957076,1110,,0.5,
mmh0wavycmn4y3,softmax_mvt,2,709.5161231776377,1423.0322463552754,1433.0564769438881,1110,10.0,,4.394594366633662
mmh0x9u4kgtvxn,mvt_threshold,1,909.2751297794198,1820.5502595588396,1825.6294439534493,1187,15.0,,
mmh0x9u4kgtvxn,patch_leaving,1,984.1350252798952,1970.2700505597904,1975.3492349544001,1187,,0.5,
mmh0x9u4kgtvxn,softmax_mvt,2,798.9436009562899,1601.8872019125797,1612.045570701799,1187,30.0,,2.4726863212771852
mmh0yegg0emahk,mvt_threshold,1,352.57995466662425,707.1599093332485,711.7945426911102,761,5.0,,
mmh0yegg0emahk,patch_leaving,1,455.1657373894918,912.3314747789836,916.9661081368454,761,,0.5,
mmh0yegg0emahk,softmax_mvt,2,438.3299646391864,880.6599292783728,889.9291959940962,761,5.0,,8.046497823154876
mmh115pr1lsvkw,mvt_threshold,1,538.2539008588775,1078.507801717755,1083.2647341070026,860,5.0,,
mmh115pr1lsvkw,patch_leaving,1,564.5934937201574,1131.1869874403149,1135.9439198295624,860,,0.5,
mmh115pr1lsvkw,softmax_mvt,2,556.8376872979933,1117.6753745959866,1127.1892393744818,860,5.0,,2.6234819194898975
mmh16ou0ocswzc,mvt_threshold,1,620.1174587503646,1242.2349175007291,1247.139668270691,997,5.0,,
mmh16ou0ocswzc,patch_leaving,1,700.5225316953183,1403.0450633906366,1407.9498141605984,997,,0.5,
mmh16ou0ocswzc,softmax_mvt,2,639.944388076464,1283.888776152928,1293.6982776928517,997,5.0,,2.9844324627379013
mmh19xdl74m2p5,mvt_threshold,1,405.6212972026534,813.2425944053068,818.0980032039167,949,5.0,,
mmh19xdl74m2p5,patch_leaving,1,639.9050442319195,1281.810088463839,1286.665497262449,949,,0.5,
mmh19xdl74m2p5,softmax_mvt,2,553.0428723817869,1110.0857447635738,1119.7965623607936,949,10.0,,5.073460491056899
mmh1cyh0ahaw8s,mvt_threshold,1,577.6220319966502,1157.2440639933004,1162.1755357988998,1024,5.0,,
mmh1cyh0ahaw8s,patch_leaving,1,804.9743072203167,1611.9486144406335,1616.8800862462328,1024,,0.5,
