session_id,scope,phase_id,sample_entropy,n_points
mmgq3qouddjc6z,phase_4,4,0.8434293836092833,300
mmgqyc7ozjls4u,full_session,0,0.7480666184056692,1025
mmgqyc7ozjls4u,phase_1,1,0.8381427797412135,228
mmgqyc7ozjls4u,phase_2,2,0.7956947548411569,254
mmgqyc7ozjls4u,phase_3,3,0.5753641449035618,279
mmgqyc7ozjls4u,phase_4,4,0.8239710842869631,264
mmgr4s188ypj5i,full_session,0,0.43993772941275144,1016
mmgr4s188ypj5i,phase_1,1,0.5130300886984175,230
mmgr4s188ypj5i,phase_2,2,0.37723304848061506,252
mmgr4s188ypj5i,phase_3,3,0.3425978300478957,253
mmgr4s188ypj5i,phase_4,4,0.4748709467700949,281
mmgr4wtlfg07a6,full_session,0,0.7783488846688026,956
mmgr4wtlfg07a6,phase_1,1,0.4356172626559627,253
mmgr4wtlfg07a6,phase_2,2,0.796446750397749,234
mmgr4wtlfg07a6,phase_3,3,0.6409159883344996,248
mmgr4wtlfg07a6,phase_4,4,0.944254290502802,221
mmgr8c41csnx7y,full_session,0,0.6708067399623174,683
mmgr8c41csnx7y,phase_1,1,0.2639193019906684,161
mmgr8c41csnx7y,phase_2,2,0.47510754116391146,212
mmgr8c41csnx7y,phase_3,3,0.6430154228499048,195
mmgr8c41csnx7y,phase_4,4,0.8880820112396459,115
