session_id,model,split,accuracy,f1,mcc
mmgr4s188ypj5i,xgboost,75_25,0.7125984251968503,0.6666666666666666,0.41917458207471253
mmgr4s188ypj5i,nn_engineered,75_25,0.610236220472441,0.5892116182572614,0.21935451338862913
mmgr4s188ypj5i,nn_raw,75_25,0.8809523809523809,0.8695652173913043,0.7600761662964138
mmgr4s188ypj5i,xgboost,phase1_rest,0.6526717557251909,0.7016393442622951,0.3334193890150243
mmgr4s188ypj5i,nn_engineered,phase1_rest,0.6997455470737913,0.6346749226006192,0.41695822376848607
mmgr4s188ypj5i,nn_raw,phase1_rest,0.510178117048346,0.0,0.0
mmgr4wtlfg07a6,xgboost,75_25,0.6276150627615062,0.5527638190954773,0.25037713701379655
mmgr4wtlfg07a6,nn_engineered,75_25,0.5899581589958159,0.449438202247191,0.17454922858205288
mmgr4wtlfg07a6,nn_raw,75_25,0.6160337552742616,0.6403162055335968,0.24481110340415113
mmgr4wtlfg07a6,xgboost,phase1_rest,0.43812233285917496,0.34925864909390447,-0.1316366130431831
mmgr4wtlfg07a6,nn_engineered,phase1_rest,0.37268847795163584,0.1694915254237288,-0.29658477005704836
mmgr4wtlfg07a6,nn_raw,phase1_rest,0.5405405405405406,0.45531197301854975,0.08097846382256547
mmgr8c41csnx7y,xgboost,75_25,0.4444444444444444,0.24,-0.1464062940543391
mmgr8c41csnx7y,nn_engineered,75_25,0.30409356725146197,0.327683615819209,-0.391009390935146
mmgr8c41csnx7y,nn_raw,75_25,0.46153846153846156,0.29457364341085274,-0.0955144210729427
mmgr8c41csnx7y,xgboost,phase1_rest,0.6743295019157088,0.5663265306122449,0.3897221145026149
mmgr8c41csnx7y,nn_engineered,phase1_rest,0.5517241379310345,0.502127659574468,0.10238796682586637
mmgr8c41csnx7y,nn_raw,phase1_rest,0.5076628352490421,0.0,0.0
mmh0l2c7syhpy7,xgboost,75_25,0.5525291828793775,0.5267489711934157,0.11474269877121368
mmh0l2c7syhpy7,nn_engineered,75_25,0.5719844357976653,0.5258620689655172,0.16149667301662712
mmh0l2c7syhpy7,nn_raw,75_25,0.6470588235294118,0.6785714285714286,0.29016454267538394
mmh0l2c7syhpy7,xgboost,phase1_rest,0.6115384615384616,0.6169405815423514,0.22337493052059942
