session_id,model,phase,accuracy,f1,mcc
mmgpy8l4xh9nto,hmm_2state,Ph 1,0.46440677966101696,0.3629032258064516,-0.07403942084443055
mmgpy8l4xh9nto,hmm_2state,Ph 2,0.8633093525179856,0.8758169934640523,0.727096104227644
mmgpy8l4xh9nto,hmm_2state,Ph 3,0.3272058823529412,0.2077922077922078,-0.3707030062139605
mmgpy8l4xh9nto,hmm_2state,Ph 4,0.466403162055336,0.1509433962264151,-0.05348329680801463
mmgpy8l4xh9nto,hmm_3state,Full,0.5327868852459017,0.45714285714285713,0.06400437821986743
mmgpy8l4xh9nto,hmm_3state,Ph 1,0.46440677966101696,0.3629032258064516,-0.07403942084443055
mmgpy8l4xh9nto,hmm_3state,Ph 2,0.8633093525179856,0.8758169934640523,0.727096104227644
mmgpy8l4xh9nto,hmm_3state,Ph 3,0.33088235294117646,0.21551724137931033,-0.3610705962030112
mmgpy8l4xh9nto,hmm_3state,Ph 4,0.466403162055336,0.1509433962264151,-0.05348329680801463
mmgpy8l4xh9nto,hmm_4state,Full,0.9981785063752276,0.9981481481481481,0.9963626606210714
mmgpy8l4xh9nto,hmm_4state,Ph 1,0.9966101694915255,0.9966101694915255,0.9932432432432432
mmgpy8l4xh9nto,hmm_4state,Ph 2,1.0,1.0,1.0
mmgpy8l4xh9nto,hmm_4state,Ph 3,0.9963235294117647,0.9950738916256158,0.9921720909649036
mmgpy8l4xh9nto,hmm_4state,Ph 4,1.0,1.0,1.0
mmgq3qouddjc6z,hmm_2state,Full,0.562012142237641,0.5937248592115849,0.12668855874888216
mmgq3qouddjc6z,hmm_2state,Ph 1,0.5059288537549407,0.5283018867924528,0.021288500926447622
mmgq3qouddjc6z,hmm_2state,Ph 2,0.6404109589041096,0.7780126849894292,0.007818972139826913
mmgq3qouddjc6z,hmm_2state,Ph 3,0.5227272727272727,0.23834196891191708,-0.09284766908852593
mmgq3qouddjc6z,hmm_2state,Ph 4,0.5733333333333334,0.5897435897435898,0.147803848476893
mmgq3qouddjc6z,hmm_3state,Full,0.5047701647875108,0.35914702581369246,0.007628019595508917
mmgq3qouddjc6z,hmm_3state,Ph 1,0.5019762845849802,0.496,0.006076175248059947
mmgq3qouddjc6z,hmm_3state,Ph 2,0.547945205479452,0.5285714285714286,0.23365326791274432
mmgq3qouddjc6z,hmm_3state,Ph 3,0.4675324675324675,0.14583333333333334,-0.22728353962090245
mmgq3qouddjc6z,hmm_3state,Ph 4,0.5033333333333333,0.11834319526627218,0.0017817812083274146
mmgq3qouddjc6z,hmm_4state,Full,1.0,1.0,1.0
mmgq3qouddjc6z,hmm_4state,Ph 1,1.0,1.0,1.0
mmgq3qouddjc6z,hmm_4state,Ph 2,1.0,1.0,1.0
mmgq3qouddjc6z,hmm_4state,Ph 3,1.0,1.0,1.0
mmgq3qouddjc6z,hmm_4state,Ph 4,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_2state,Full,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_2state,Ph 1,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_2state,Ph 2,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_2state,Ph 3,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_2state,Ph 4,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_3state,Full,0.9970731707317073,0.9970089730807578,0.9941607419330684
mmgqyc7ozjls4u,hmm_3state,Ph 1,0.9956140350877193,0.9955555555555555,0.9912648698060915
mmgqyc7ozjls4u,hmm_3state,Ph 2,0.9960629921259843,0.9966996699669967,0.9918549228808228
mmgqyc7ozjls4u,hmm_3state,Ph 3,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_3state,Ph 4,0.9962121212121212,0.9961977186311787,0.9924527223072329
mmgqyc7ozjls4u,hmm_4state,Full,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_4state,Ph 1,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_4state,Ph 2,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_4state,Ph 3,1.0,1.0,1.0
mmgqyc7ozjls4u,hmm_4state,Ph 4,1.0,1.0,1.0
mmgr4s188ypj5i,hmm_2state,Full,1.0,1.0,1.0
mmgr4s188ypj5i,hmm_2state,Ph 1,1.0,1.0,1.0
mmgr4s188ypj5i,hmm_2state,Ph 2,1.0,1.0,1.0
mmgr4s188ypj5i,hmm_2state,Ph 3,1.0,1.0,1.0
mmgr4s188ypj5i,hmm_2state,Ph 4,1.0,1.0,1.0
mmgr4s188ypj5i,hmm_3state,Full,0.9921259842519685,0.9919028340080972,0.9843632158900546
mmgr4s188ypj5i,hmm_3state,Ph 1,0.9826086956521739,0.9819819819819819,0.9657712503984823
mmgr4s188ypj5i,hmm_3state,Ph 2,1.0,1.0,1.0
mmgr4s188ypj5i,hmm_3state,Ph 3,0.9881422924901185,0.9822485207100592,0.9736964698105244
mmgr4s188ypj5i,hmm_3state,Ph 4,0.99644128113879,0.9961389961389961,0.9928642164096362
mmgr4s188ypj5i,hmm_4state,Full,0.734251968503937,0.628099173553719,0.5485983830830623
mmgr4s188ypj5i,hmm_4state,Ph 1,0.8391304347826087,0.8042328042328042,0.714825677989958
mmgr4s188ypj5i,hmm_4state,Ph 2,0.7579365079365079,0.779783393501805,0.6069128399253654
mmgr4s188ypj5i,hmm_4state,Ph 3,0.7628458498023716,0.4642857142857143,0.47160972858139116
mmgr4s188ypj5i,hmm_4state,Ph 4,0.6014234875444839,0.24324324324324326,0.28195199755736206
mmgr4wtlfg07a6,hmm_2state,Full,1.0,1.0,1.0
mmgr4wtlfg07a6,hmm_2state,Ph 1,1.0,1.0,1.0
mmgr4wtlfg07a6,hmm_2state,Ph 2,1.0,1.0,1.0
mmgr4wtlfg07a6,hmm_2state,Ph 3,1.0,1.0,1.0
mmgr4wtlfg07a6,hmm_2state,Ph 4,1.0,1.0,1.0
mmgr4wtlfg07a6,hmm_3state,Full,0.9916317991631799,0.9914346895074947,0.9833937677090738
mmgr4wtlfg07a6,hmm_3state,Ph 1,0.9960474308300395,0.9959514170040485,0.9921215706344229
mmgr4wtlfg07a6,hmm_3state,Ph 2,0.9957264957264957,0.9966777408637874,0.9907328403872356
mmgr4wtlfg07a6,hmm_3state,Ph 3,0.9959677419354839,0.9942196531791907,0.9911628825770746
mmgr4wtlfg07a6,hmm_3state,Ph 4,0.9773755656108597,0.9765258215962441,0.955695412091724
mmgr4wtlfg07a6,hmm_4state,Full,0.5784518828451883,0.3866057838660578,0.18690057159215887
mmgr4wtlfg07a6,hmm_4state,Ph 1,0.525691699604743,0.2682926829268293,0.0519095338667628
mmgr4wtlfg07a6,hmm_4state,Ph 2,0.6239316239316239,0.639344262295082,0.328322295338742
mmgr4wtlfg07a6,hmm_4state,Ph 3,0.6330645161290323,0.2601626016260163,0.08085642440705297
mmgr4wtlfg07a6,hmm_4state,Ph 4,0.5294117647058824,0.1746031746031746,0.08883130324875345
mmgr8c41csnx7y,hmm_2state,Full,0.5534407027818448,0.0,0.0
mmgr8c41csnx7y,hmm_2state,Ph 1,0.7018633540372671,0.0,0.0
mmgr8c41csnx7y,hmm_2state,Ph 2,0.419811320754717,0.0,0.0
mmgr8c41csnx7y,hmm_2state,Ph 3,0.6,0.0,0.0
mmgr8c41csnx7y,hmm_2state,Ph 4,0.5130434782608696,0.0,0.0
mmgr8c41csnx7y,hmm_3state,Full,1.0,1.0,1.0
mmgr8c41csnx7y,hmm_3state,Ph 1,1.0,1.0,1.0
mmgr8c41csnx7y,hmm_3state,Ph 2,1.0,1.0,1.0
mmgr8c41csnx7y,hmm_3state,Ph 3,1.0,1.0,1.0
mmgr8c41csnx7y,hmm_3state,Ph 4,1.0,1.0,1.0
