session_id,approach,theta,E,rho,accuracy,f1,mcc,n_pred
mmh0tro0khha5x,smap_nonlinear,1.0,2,0.817052388201323,0.7315436241610739,0.7222222222222222,0.4691115351404369,149
mmh0tro0khha5x,smap_best,1.0,2,0.817052388201323,0.7315436241610739,0.7222222222222222,0.4691115351404369,149
mmh0uacrkmrg83,smap_linear,0.0,2,0.9085816309145633,0.825503355704698,0.8433734939759037,0.6476193611304537,149
mmh0uacrkmrg83,smap_best,0.0,2,0.9085816309145633,0.825503355704698,0.8433734939759037,0.6476193611304537,149
mmh0ueb9o9dis7,smap_linear,0.0,2,0.7908407418222451,0.7516778523489933,0.7612903225806451,0.5141064012939708,149
mmh0ueb9o9dis7,smap_nonlinear,0.5,2,0.7912785733013544,0.7583892617449665,0.7631578947368421,0.534286662828689,149
mmh0ueb9o9dis7,smap_best,0.5,2,0.7912785733013544,0.7583892617449665,0.7631578947368421,0.534286662828689,149
mmh0vbvu4yn6l1,smap_linear,0.0,4,0.13492781384091163,0.5167785234899329,0.5764705882352941,0.0260543916450301,149
mmh0vbvu4yn6l1,smap_best,0.0,4,0.13492781384091163,0.5167785234899329,0.5764705882352941,0.0260543916450301,149
mmh0vh7gck5q8n,smap_linear,0.0,6,0.88410477858568,0.8389261744966443,0.8441558441558441,0.6823488941911242,149
mmh0vh7gck5q8n,smap_nonlinear,0.5,6,0.8868629627910491,0.8187919463087249,0.8211920529801324,0.6393652249378651,149
mmh0vh7gck5q8n,smap_best,0.5,6,0.8868629627910491,0.8187919463087249,0.8211920529801324,0.6393652249378651,149
mmh0wavycmn4y3,smap_linear,0.0,2,0.8461754902316556,0.7919463087248322,0.7862068965517242,0.6295261590256235,149
mmh0wavycmn4y3,smap_nonlinear,0.5,2,0.8474214503855849,0.8053691275167785,0.8053691275167785,0.6433823529411765,149
mmh0wavycmn4y3,smap_best,0.5,2,0.8474214503855849,0.8053691275167785,0.8053691275167785,0.6433823529411765,149
mmh0x9u4kgtvxn,smap_linear,0.0,3,0.7417935135416797,0.7449664429530202,0.7466666666666667,0.5072918262941626,149
mmh0x9u4kgtvxn,smap_nonlinear,0.5,3,0.7426365942115379,0.7583892617449665,0.7662337662337663,0.5261515952360657,149
mmh0x9u4kgtvxn,smap_best,0.5,3,0.7426365942115379,0.7583892617449665,0.7662337662337663,0.5261515952360657,149
mmh0yegg0emahk,smap_linear,0.0,5,0.894133275405461,0.8523489932885906,0.8777777777777778,0.6926594254774534,149
mmh0yegg0emahk,smap_nonlinear,0.1,5,0.8941621639674843,0.8456375838926175,0.8715083798882681,0.6802706751404581,149
mmh0yegg0emahk,smap_best,0.1,5,0.8941621639674843,0.8456375838926175,0.8715083798882681,0.6802706751404581,149
mmh115pr1lsvkw,smap_linear,0.0,2,0.7928752521673093,0.7114093959731543,0.7455621301775148,0.4417274705584488,149
mmh115pr1lsvkw,smap_nonlinear,0.1,2,0.7935946181403418,0.7114093959731543,0.7455621301775148,0.4417274705584488,149
mmh115pr1lsvkw,smap_best,0.1,2,0.7935946181403418,0.7114093959731543,0.7455621301775148,0.4417274705584488,149
mmh16ou0ocswzc,smap_linear,0.0,3,0.8162706882966626,0.825503355704698,0.8266666666666667,0.6656976849377813,149
mmh16ou0ocswzc,smap_nonlinear,0.1,3,0.8170582055000688,0.8187919463087249,0.8187919463087249,0.65435020021842,149
mmh16ou0ocswzc,smap_best,0.1,3,0.8170582055000688,0.8187919463087249,0.8187919463087249,0.65435020021842,149
mmh19xdl74m2p5,smap_linear,0.0,2,0.8049681648824561,0.7986577181208053,0.8148148148148148,0.5942265795206971,149
mmh19xdl74m2p5,smap_nonlinear,0.1,2,0.8056922866606232,0.7986577181208053,0.8148148148148148,0.5942265795206971,149
mmh19xdl74m2p5,smap_best,0.1,2,0.8056922866606232,0.7986577181208053,0.8148148148148148,0.5942265795206971,149
mmh1cyh0ahaw8s,smap_linear,0.0,2,0.7335920723668536,0.7718120805369127,0.8089887640449438,0.5362992173513473,149
mmh1cyh0ahaw8s,smap_nonlinear,0.1,2,0.734323576927715,0.7718120805369127,0.8089887640449438,0.5362992173513473,149
mmh1cyh0ahaw8s,smap_best,0.1,2,0.734323576927715,0.7718120805369127,0.8089887640449438,0.5362992173513473,149
mmh1eq07kkdfkw,smap_linear,0.0,2,0.6342032216418886,0.7248322147651006,0.6870229007633588,0.4609968439941345,149
mmh1eq07kkdfkw,smap_nonlinear,0.5,2,0.6360718869259253,0.7449664429530202,0.7205882352941176,0.4958471611621812,149
mmh1eq07kkdfkw,smap_best,0.5,2,0.6360718869259253,0.7449664429530202,0.7205882352941176,0.4958471611621812,149
mmh1jfrxrszco0,smap_linear,0.0,3,0.9819676696180657,0.8926174496644296,0.9058823529411765,0.7862299830466902,149
mmh1jfrxrszco0,smap_nonlinear,1.0,3,0.9823632750750179,0.8926174496644296,0.9058823529411765,0.7862299830466902,149
mmh1jfrxrszco0,smap_best,1.0,3,0.9823632750750179,0.8926174496644296,0.9058823529411765,0.7862299830466902,149
mmh1qje9negjr0,smap_linear,0.0,2,0.9048408731823235,0.8657718120805369,0.8901098901098901,0.7397290342485724,149
mmh1qje9negjr0,smap_nonlinear,0.5,2,0.9082291962853873,0.8791946308724832,0.9032258064516129,0.7553365160214127,149
