session_id,scope,phase_id,n_clicks,hurst_exponent,dfa_alpha
mmgpqa16u4u07b,phase_4,4,245,0.9209993646103247,0.9209993646103247
mmgpy8l4xh9nto,full_session,0,1098,0.516061455962599,0.516061455962599
mmgpy8l4xh9nto,phase_1,1,295,0.25132480888756803,0.25132480888756803
mmgpy8l4xh9nto,phase_2,2,278,0.5389752167515021,0.5389752167515021
mmgpy8l4xh9nto,phase_3,3,272,0.744515283426505,0.744515283426505
mmgpy8l4xh9nto,phase_4,4,253,0.34554256226960145,0.34554256226960145
mmgq3qouddjc6z,full_session,0,1153,0.5533485972237453,0.5533485972237453
mmgq3qouddjc6z,phase_1,1,253,0.7001889550959896,0.7001889550959896
mmgq3qouddjc6z,phase_2,2,292,0.5858585078003125,0.5858585078003125
mmgq3qouddjc6z,phase_3,3,308,0.7056704421481564,0.7056704421481564
mmgq3qouddjc6z,phase_4,4,300,0.578300104209988,0.578300104209988
mmgqyc7ozjls4u,full_session,0,1025,0.5085180456448436,0.5085180456448436
mmgqyc7ozjls4u,phase_1,1,228,0.637535410442514,0.637535410442514
mmgqyc7ozjls4u,phase_2,2,254,0.4872585652552855,0.4872585652552855
mmgqyc7ozjls4u,phase_3,3,279,0.5726016641124162,0.5726016641124162
mmgqyc7ozjls4u,phase_4,4,264,0.6910011038770302,0.6910011038770302
mmgr4s188ypj5i,full_session,0,1016,0.7129920686389938,0.7129920686389938
mmgr4s188ypj5i,phase_1,1,230,0.8845965040233705,0.8845965040233705
mmgr4s188ypj5i,phase_2,2,252,0.8906105030160741,0.8906105030160741
mmgr4s188ypj5i,phase_3,3,253,1.0365323655353986,1.0365323655353986
mmgr4s188ypj5i,phase_4,4,281,0.9919461112432266,0.9919461112432266
mmgr4wtlfg07a6,full_session,0,956,0.546141842860351,0.546141842860351
mmgr4wtlfg07a6,phase_1,1,253,0.22018168654650394,0.22018168654650394
mmgr4wtlfg07a6,phase_2,2,234,0.7695546608281415,0.7695546608281415
mmgr4wtlfg07a6,phase_3,3,248,0.7332008158341679,0.7332008158341679
mmgr4wtlfg07a6,phase_4,4,221,0.6715214267738812,0.6715214267738812
mmgr8c41csnx7y,full_session,0,683,0.7825252615764973,0.7825252615764973
mmgr8c41csnx7y,phase_1,1,161,1.0864587562539045,1.0864587562539045
mmgr8c41csnx7y,phase_2,2,212,1.0562656495603944,1.0562656495603944
mmgr8c41csnx7y,phase_3,3,195,0.9411377684575281,0.9411377684575281
mmgr8c41csnx7y,phase_4,4,115,0.1997896184550047,0.1997896184550047
