session_id,overall_switch_rate,mean_run_length,choice_entropy,win_stay_rate,lose_shift_rate,overall_reward_rate,total_rewards,choice_prop_a,total_clicks,adaptation_lag_phase2_s,adaptation_lag_phase3_s,dfa_alpha,sample_entropy,determinism,laminarity,trapping_time,best_E,ccm_asymmetry
mmh0vh7gck5q8n,0.12562814070351758,8.02020202020202,0.999107261904943,0.9779559118236473,0.30067567567567566,0.6268844221105527,499,0.5175879396984925,796,2.309,11.716,0.6999197221199032,0.8185840657677774,0.979976132152503,0.997047924125369,8.531656454907019,5,-0.009355000000000113
mmh0wavycmn4y3,0.34684684684684686,4.147826086956521,0.999941453025042,0.7258883248730964,0.38741258741258744,0.35495495495495494,394,0.4954954954954955,1110,5.817,11.03,0.6082584876814593,1.5436469065846437,0.926421731483291,0.962937267930428,6.442243577171994,3,0.20497349999999998
mmh0x9u4kgtvxn,0.493681550126369,4.870967741935484,0.9999953922800321,0.5726495726495726,0.5221556886227545,0.2965459140690817,352,0.4987363100252738,1187,14.361,11.195,0.5985070114918095,1.0488109751615746,0.9526548134947956,0.9790476961915948,8.073587531310883,2,-0.3217285
mmh0yegg0emahk,0.16557161629434955,7.604166666666667,0.9999389652128616,0.9096267190569745,0.3187250996015936,0.668856767411301,509,0.49540078843626806,761,3.537,10.945,0.7478679246390822,0.9213412476602235,0.9799897014621528,0.9937011268516412,9.760174076687838,1,-0.3788525
mmh115pr1lsvkw,0.33488372093023255,5.198529411764706,0.9992352130706913,0.7927565392354124,0.511049723756906,0.5790697674418605,498,0.5162790697674419,860,3.625,21.108,0.5821822259081307,1.0878759892208538,0.9628795778976376,0.9799653312522876,11.189811529059222,1,0.020391000000000103
mmh16ou0ocswzc,0.20361083249749248,5.087628865979381,0.9999644406449978,0.8546845124282982,0.26849894291754756,0.5245737211634904,523,0.49648946840521563,997,4.554,31.478,0.5349214965156869,1.6693227648903246,0.9749023288422504,0.9926160039351158,9.295687395758875,4,0.0065509999999999735
mmh19xdl74m2p5,0.11169652265542676,8.869158878504672,0.9997685094904741,0.9481641468682506,0.16907216494845362,0.48788198103266595,463,0.5089567966280295,949,1.538,0.925,0.6674931398762696,1.3839218807662603,0.981956282171105,0.997569294293247,10.309258658593722,1,0.029011499999999968
mmh1cyh0ahaw8s,0.1796875,6.519736842105263,0.9960228568316535,0.8586497890295358,0.21311475409836064,0.462890625,474,0.537109375,1024,7.785,14.772,0.6573191572023853,1.5976807554480565,0.9024026381909548,0.9712494765494136,4.585665739882607,5,-0.2230540000000002
mmh1eq07kkdfkw,0.13284132841328414,7.475862068965517,0.9982091745284157,0.9254079254079254,0.1712538226299694,0.39575645756457567,429,0.47509225092250923,1084,0.032,10.35,0.6092619736469748,1.3563420388365393,0.926998510173677,0.9850609196106044,5.320729758033401,3,0.16607100000000002
mmh1jfrxrszco0,0.19729206963249515,11.35,0.9983126201788569,0.8414376321353065,0.627906976744186,0.9168278529980658,474,0.5241779497098646,517,0.155,11.972,0.925633610936852,0.24313278601190286,0.973480504587156,0.9916499426605504,10.352038907594464,1,-0.4022465
mmh1qje9negjr0,0.2986870897155361,5.050632911392405,0.9997202144774338,0.7700892857142857,0.3655913978494624,0.49015317286652077,448,0.5098468271334792,914,0.312,7.235,0.7064683887106843,1.3628427000848407,0.9706511981216768,0.9866203991437056,10.350735793525017,2,-0.0879975
mmh1sestgp7zew,0.08737864077669903,11.540816326530612,0.9999544829287736,0.950354609929078,0.11001410437235543,0.3733451015004413,423,0.4960282436010591,1133,3.908,4.74,0.7805480661403296,1.0527025873640319,0.866918309571782,0.97976229947206,3.939647215670188,2,-0.33991400000000005
mmh1tezp242ppu,0.3149113660062565,4.664804469273743,0.9995097286142537,0.7996219281663516,0.4568764568764569,0.5516162669447341,529,0.5130344108446299,959,0.33,6.49,0.5632901807925593,1.6289004615090124,0.9620961263963292,0.9818628895708004,10.440883672340687,1,0.35372950000000003
mmh1wzqpu4iob1,0.12514757969303425,8.474747474747474,0.9996369876894684,0.9324055666003976,0.2099125364431487,0.5938606847697757,503,0.4887839433293979,847,7.909,13.023,0.7027782343880777,0.9323176015860526,0.980342741935484,0.9968401054590572,9.012926690329085,1,0.10572149999999997
mmh250jg0prrne,0.5669099756690997,4.65979381443299,0.9996540760494435,0.48873483535528595,0.7008196721311475,0.7019464720194647,577,0.48905109489051096,822,9.601,4.804,0.600158476855621,0.7734857024643033,0.94164414511032,0.9644802882759212,14.438403082521674,3,0.036751000000000034
mmh28cu87aoonk,0.6852976913730255,2.842857142857143,0.9962895934465072,0.3231292517006803,0.7094017094017094,0.7144592952612394,588,0.4641555285540705,823,38.607,13.73,0.5873900934493209,0.4894863077309953,0.8956955184943631,0.93761452219013,20.452366838851724,2,0.03322550000000002
